athlete_id,name,sex,NOC,country_name,birth_date,sport_principal,sport,sport_code
1925768,VLACH Martin,Male,CZE,Czechia,1997-05-02,Modern Pentathlon,Modern Pentathlon,MPN
1925785,FANGIO Francesca,Female,ITA,Italy,1995-08-17,Swimming,Swimming,SWM
1925790,MENICUCCI Emma Virginia,Female,ITA,Italy,2002-05-11,Swimming,Swimming,SWM
1925791,MORINI Sofia,Female,ITA,Italy,2003-03-08,Swimming,Swimming,SWM
1925793,PANZIERA Margherita,Female,ITA,Italy,1995-08-12,Swimming,Swimming,SWM
1925795,RAMATELLI Giulia,Female,ITA,Italy,2000-09-09,Swimming,Swimming,SWM
1925797,SCOTTO di CARLO Viola,Female,ITA,Italy,2003-06-27,Swimming,Swimming,SWM
1925798,TARANTINO Chiara,Female,ITA,Italy,2003-08-14,Swimming,Swimming,SWM
1925803,BIAGIOTTI Matilde,Female,ITA,Italy,2005-09-20,Swimming,Swimming,SWM
1925804,TADDEUCCI Ginevra,Female,ITA,Italy,1997-05-03,Marathon Swimming,Marathon Swimming,OWS
1925805,AVEGNO Silvia,Female,ITA,Italy,1997-06-15,Water Polo,Water Polo,WPO
1925806,BANCHELLI Caterina,Female,ITA,Italy,2000-09-25,Water Polo,Water Polo,WPO
1925807,BIANCONI Roberta,Female,ITA,Italy,1989-07-08,Water Polo,Water Polo,WPO
1925808,COCCHIERE Agnese,Female,ITA,Italy,1999-06-04,Water Polo,Water Polo,WPO
1925809,CONDORELLI Giuseppina Aurora,Female,ITA,Italy,2001-03-30,Water Polo,Water Polo,WPO
1925811,GALARDI Giuditta,Female,ITA,Italy,1995-06-10,Water Polo,Water Polo,WPO
1925813,GIUSTINI Sofia,Female,ITA,Italy,2003-02-28,Water Polo,Water Polo,WPO
1925814,MARLETTA Claudia Roberta,Female,ITA,Italy,1995-11-23,Water Polo,Water Polo,WPO
1925815,PALMIERI Valeria,Female,ITA,Italy,1993-10-18,Water Polo,Water Polo,WPO
1925816,PICOZZI Domitilla,Female,ITA,Italy,1998-06-05,Water Polo,Water Polo,WPO
1925820,TABANI Chiara,Female,ITA,Italy,1994-08-27,Water Polo,Water Polo,WPO
1925821,VIACAVA Giulia,Female,ITA,Italy,1994-09-01,Water Polo,Water Polo,WPO
1925822,BETTINI Dafne,Female,ITA,Italy,2003-03-17,Water Polo,Water Polo,WPO
1925835,ADEYEYE Adebola,Female,NGR,Nigeria,1999-11-10,Basketball,Basketball,BKB
1925840,EBO Lauren,Female,NGR,Nigeria,2000-06-07,Basketball,Basketball,BKB
1925856,KUNAIYI-AKPANAH Pallas,Female,NGR,Nigeria,1997-07-12,Basketball,Basketball,BKB
1925859,MEJIA CASTILLO Kevin,Male,HON,Honduras,1995-05-05,Wrestling,Wrestling,WRE
1925869,MUSA Murjanatu,Female,NGR,Nigeria,2000-05-05,Basketball,Basketball,BKB
1925873,AVILA MANCIA Julimar,Female,HON,Honduras,1997-01-21,Swimming,Swimming,SWM
1925883,HORREGO Julio,Male,HON,Honduras,1998-10-08,Swimming,Swimming,SWM
1925905,OKONKWO Amy,Female,NGR,Nigeria,1996-08-26,Basketball,Basketball,BKB
1925942,GRANADO Yohandri,Male,VEN,Venezuela,1999-09-05,Taekwondo,Taekwondo,TKW
1925944,OKORO Ifunanya,Female,NGR,Nigeria,1999-07-06,Basketball,Basketball,BKB
1925951,TAIWO Tomi,Female,NGR,Nigeria,2000-06-16,Basketball,Basketball,BKB
1925995,CHITUNDU Avell,Female,ZAM,Zambia,1997-07-30,Football,Football,FBL
1925999,BANDA Barbra,Female,ZAM,Zambia,2000-03-20,Football,Football,FBL
1926015,CHANDA Grace,Female,ZAM,Zambia,1997-06-11,Football,Football,FBL
1926018,ZULU Misozi,Female,ZAM,Zambia,1994-10-11,Football,Football,FBL
1926035,CHANDA Hellen,Female,ZAM,Zambia,1998-06-19,Football,Football,FBL
1926040,MUPOPO Kabange,Female,ZAM,Zambia,1992-09-21,Football,Football,FBL
1926043,MWEEMBA Lushomo,Female,ZAM,Zambia,2001-03-28,Football,Football,FBL
1926046,TEMBO Martha,Female,ZAM,Zambia,1998-03-08,Football,Football,FBL
1926050,MUSOLE Ngambo,Female,ZAM,Zambia,1998-06-26,Football,Football,FBL
1926052,ZULU Pauline,Female,ZAM,Zambia,2004-10-03,Football,Football,FBL
1926054,KUNDANANJI Racheal,Female,ZAM,Zambia,2000-06-03,Football,Football,FBL
1926078,PHIRI Mia,Female,ZAM,Zambia,2003-05-05,Swimming,Swimming,SWM
1926082,SHAMAMBO Damien,Male,ZAM,Zambia,2003-08-19,Swimming,Swimming,SWM
1926101,ADEKOYA Kemi,Female,BRN,Bahrain,1993-01-16,Athletics,Athletics,ATH
1926102,YAVI Winfred,Female,BRN,Bahrain,1999-12-31,Athletics,Athletics,ATH
1926104,CHUMBA Eunice Chebichii,Female,BRN,Bahrain,1993-05-23,Athletics,Athletics,ATH
1926111,CHELIMO Rose,Female,BRN,Bahrain,1989-07-12,Athletics,Athletics,ATH
1926127,BALEW Birhanu,Male,BRN,Bahrain,1996-02-27,Athletics,Athletics,ATH
1926196,AMUSAN Tobi,Female,NGR,Nigeria,1997-04-23,Athletics,Athletics,ATH
1926201,ENEKWECHI Chukwuebuka Cornnell,Male,NGR,Nigeria,1993-01-28,Athletics,Athletics,ATH
1926205,ONYEKWERE Chioma,Female,NGR,Nigeria,1994-06-28,Athletics,Athletics,ATH
1926236,USORO Ruth,Female,NGR,Nigeria,1997-10-08,Athletics,Athletics,ATH
1926293,GINTING Anthony Sinisuka,Male,INA,Indonesia,1996-05-11,Badminton,Badminton,BDM
1926294,VITIDSARN Kunlavut,Male,THA,Thailand,2001-05-11,Badminton,Badminton,BDM
1926295,RAHAYU Apriyani,Female,INA,Indonesia,1998-04-29,Badminton,Badminton,BDM
1926300,JOMKOH Supak,Male,THA,Thailand,1996-09-04,Badminton,Badminton,BDM
1926303,KEDREN Kittinupong,Male,THA,Thailand,1996-07-19,Badminton,Badminton,BDM
1926304,TAN Shannon,Female,SGP,Singapore,2004-04-09,Golf,Golf,GLF
1926307,PUAVARANUKROH Dechapol,Male,THA,Thailand,1997-05-20,Badminton,Badminton,BDM
1926309,ALFIAN Fajar,Male,INA,Indonesia,1996-03-07,Badminton,Badminton,BDM
1926315,TUNJUNG Gregoria Mariska,Female,INA,Indonesia,1999-08-11,Badminton,Badminton,BDM
